id,grade,publisher,unit,error_pattern,error_description,question,example_sentences,correct_replacement,correct_sentence
1,6학년,YBM(최희경),1단원,What grade are you?,The preposition “in” is needed when asking about a student’s school grade.,몇 학년 '안에' 있다고 이야기하려면 어떤 단어가 필요할까요?,"What grade are you in? | I’m in the sixth grade. | What grade are you in, Daniel? | Now, I’m in the first grade! | I am in the fifth grade. ",in,What grade are you in?
2,6학년,YBM(최희경),1단원,I'm sixth grade.,A preposition is required before a school grade expression.,몇 학년 '안에' 있다고 이야기하려면 어떤 단어가 필요할까요?,"I’m in the sixth grade. | I am in the sixth grade. | I’m in the fifth grade. | Now, I’m in the second grade! | What grade are you in?",in the,I'm in the sixth grade.
3,6학년,YBM(최희경),1단원,I'm in the six grade.,School grades should be expressed with ordinal numbers rather than cardinal numbers.,순서를 나타내는 말은 어떤 형태인가요?,I’m in the first grade. | I’m in the second grade. | I’m in the third grade. | I’m in the fourth grade. | I’m in the sixth grade.,sixth,I'm in the sixth grade.
4,6학년,YBM(최희경),1단원,It's in the fourth floor.,"The preposition “on” is used for floors, not “in.”",~위에' 라는 의미를 나타내려면 어떤 단어가 더 적절할까요?,My classroom is on the fourth floor. | The school library is my favorite place. It’s on the first floor. | Where is the robot race? It’s on the second floor. | Our club room is on the third floor. | My classroom is on the second floor.,on,It's on the fourth floor.
5,6학년,YBM(최희경),1단원,It's on fourth floor.,The definite article is required before an ordinal number referring to a floor.,순서를 나타내는 말 앞에는 어떤 말을 쓰나요?,My classroom is on the fourth floor. | Where is the robot race? It’s on the second floor. | The school library is on the first floor. | Our club room is on the third floor. | Flowers on the second floor!,the,It's on the fourth floor.
6,6학년,YBM(최희경),2단원,What do you want be?,The infinitive marker “to” is required before a verb after “want.”,~이 되고 싶다'라고 하려면 want 뒤에 어떤 단어가 필요할까요?,"What do you want to be? | What do you want to be in the future? | What do you want to be, Kate? | What do you want to be, Mohan? | What do you want to be, Kobby?",want to be,What do you want to be?
7,6학년,YBM(최희경),2단원,What are you want to be?,The auxiliary “do” should be used instead of “are” to form a simple present question with “want.”,want를 사용한 질문에서는 what 뒤에 무엇을 써야 할까요?,"What do you want to be? | What do you want to be in the future? | What do you want to be, Kate? | What do you want to be, Mohan? | What do you want to be, Kobby?",do,What do you want to be?
8,6학년,YBM(최희경),2단원,I want be a story writer.,The infinitive marker “to” is required before a verb after “want.”,~이 되고 싶다고 하려면 어떻게 써야 할까요?,I want to be a story writer. | I want to be a writer. | I want to be a cook. | I want to be a scientist. | I want to be a teacher.,want to be,I want to be a story writer.
9,6학년,YBM(최희경),2단원,I want to be story writer.,A singular countable noun used as a profession requires an article.,직업 앞에 '하나의'라는 말을 하려면 어떤 단어가 필요할까요?,I want to be a story writer. | I want to be a writer. | I want to be a cook. | I want to be a teacher. | I want to be a pilot.,a,I want to be a story writer.
10,6학년,YBM(최희경),2단원,I'm good in writing stories.,"The adjective “good” is followed by the preposition “at,” not “in,” when referring to skill.",~을 잘하다'라고 이야기 할 때 마지막 단어로 어떤 것이 적절할까요?,I’m good at writing stories. | I’m good at making videos. | I’m good at flying drones. | I’m good at making robots. | I’m good at drawing pictures.,at,I'm good at writing stories.
11,6학년,YBM(최희경),3단원,When your birthday is?,An auxiliary verb is required before the subject in a wh-question.,"질문을 만들 때, is가 지금 자리에 있는 것이 자연스러운지 다시 볼까요?","When is your birthday? | Amber, when is your birthday? | When is your birthday, ZETO? | When is your birthday, Miso? | Tom, when is your birthday?",When is your birthday,When is your birthday?
12,6학년,YBM(최희경),3단원,It's in May 12th.,"The preposition “on” is used for specific dates, not “in.”",날짜를 나타낼 때 날짜 앞에 어떤 말이 잘 어울리나요?,It’s on January 6th. | It’s on May 12th. | It’s on October 2nd. | It's on May 7th. | It’s on July 16th.,on,It's on May 12th.
13,6학년,YBM(최희경),3단원,Can you to come to my birthday party?,A modal verb is followed by the base form of a verb without “to.”,can 뒤에 행동을 나타내는 단어(동사)는 어떤 형태인가요? 그 사이에 불필요한 단어가 있지는 않나요?,Can you come to my birthday party? | Can you come to the festival? | Can you come to our taekwondo show? | Can you come to the dog festival? | Can you come to the game?,come,Can you come to my birthday party?
14,6학년,YBM(최희경),3단원,"Sure, I can come to.",The verb “come” does not take a final preposition when the destination is already stated.,가능한지 물어보는 질문에 어떻게 답하면 좋을까요?,"Sure, I can. | Sure, I can! | Sure, sure. Sure, I can. | Sure! I can. | Yes, I can come!",come,"Sure, I can come."
15,6학년,YBM(최희경),3단원,Sorry. I can't to come.,A modal verb is followed by the base form of a verb without “to.”,can't 뒤에 행동을 나타내는 단어(동사)는 어떤 형태인가요? 그 사이에 불필요한 단어가 있지는 않나요?,"Sorry, I can’t go. | Sorry, sorry. Sorry. I can’t. | Sorry, but I can't. | Sorry, I can’t. | Oh, I’m sorry. But I can’t go.",come,Sorry. I can't come.
16,6학년,YBM(최희경),4단원,What's wrong to you?,"“What's wrong” is already a complete expression, so no additional phrase is needed after it.",무슨 문제가 있니?'를 물어볼 때 어떻게 쓰는 것이 적절할까요?,"What’s wrong? | What’s wrong, Eddy? | What’s wrong, Jun? | What’s wrong, Jenny? | What’s wrong, Sam?",,
17,6학년,YBM(최희경),4단원,I have fever.,An article is required before the illness noun “fever.”,fever 앞에 필요한 단어가 있나요?,I have a fever. | You have a fever. | I have a fever. | You have a fever. Please sit there and wait. | I have a fever.,,
18,6학년,YBM(최희경),4단원,You should takes some medicine.,A modal verb is followed by the base form of a verb.,should 뒤에 행동을 나타내는 단어(동사)는 어떤 형태인가요?,You should take some medicine. | Take some medicine and get some rest. | Take some medicine and drink warm water. | Take this medicine and get some rest. | Take some medicine and go to bed early.,,
19,6학년,YBM(최희경),4단원,You should taking some medicine.,"A modal verb should be followed by the base form, not the present participle, of a verb.",should 뒤에 행동을 나타내는 단어(동사)는 어떤 형태인가요?,You should take some medicine. | Take this medicine. | Take this medicine and get home rest. | Take some medicine and get some rest. | Take some medicine and drink warm water.,,
20,6학년,YBM(최희경),4단원,That's to bad.,The adverb “too” should be used instead of the preposition “to” before an adjective.,너무 ~한' 이라는 말을 하고 싶을 때 어떤 단어를 쓰나요?,That’s too bad. Get some sleep. | That’s too bad. Don’t eat sweets. | That’s too bad. Drink some warm water. | That’s too bad. Go and see a doctor. | That’s too bad. Get some rest.,,
21,6학년,YBM(최희경),5단원,Who did make this ship?,The auxiliary “did” should not be used together with the past tense form of the main verb.,Who로 시작하는 이 문장에서 did가 꼭 필요한지 다시 생각해 볼까요?,"Who built the ship?, | Who made the map?, | Who made this? | Who built this? | Who made this airplane?",,
22,6학년,YBM(최희경),5단원,Who made this ship did?,An auxiliary verb should not be placed at the end of a question.,문장 끝에 did가 필요할까요?,"Who built the ship?, | Who made this? | Who drew this picture? | Who wrote this book? | Who painted the picture?",,
23,6학년,YBM(최희경),5단원,Yi Sunsin made.,A transitive verb used to describe making something requires an object.,누가 했는지 대답할 때 그 행동을 가리키기 위해서 어떤 단어를 넣어어야 할까요?,Yi Sunsin made it. | Gim Jeongho made it. | King Sejong invented it. | Van Gogh painted it. | Heo Gyun wrote it.,,
24,6학년,YBM(최희경),5단원,Yi Sunsin do.,The base form of a verb cannot be used alone as the main verb in a simple past sentence.,"이미 지난 일을 말할 때, do가 잘 어울리는지 다시 생각해 볼까요?","Yi Sunsin did. | Van Gogh did., | Sin Saimdang did., | Wang Sanak did. | Han Minho did.",,
25,6학년,YBM(최희경),5단원,Excuse me what?,The preposition “for” is needed after “Excuse me” when asking the meaning of something.,다시 말해 달라고 할 때 어떤 표현을 쓰면 좋을까요?,"Excuse me? | Did you say Yi Sunsin?, | Did you say Gaudi? | I’m sorry? | Did you say Peter Rabbit?",,
26,6학년,YBM(최희경),6단원,What are you going do this weekend?,The infinitive marker “to” is required after “going” in the future expression “be going to.”,~할 예정이다'라고 이야기할 때 마지막에 어떤 단어를 써야 하나요?,What are you going to do this weekend? | What are you going to do after school? | What are you going to do tomorrow? | What are you going to do this afternoon? | What are you going to do tonight?,,
27,6학년,YBM(최희경),6단원,What do you going to do this weekend?,The auxiliary “do” should not be used with “going to” in this future expression.,~할 예정이다'라고 이야기할 때 처음에 어떤 단어를 써야 하나요?,What are you going to do this weekend? | What are you going to do this afternoon? | What are you going to do tomorrow? | What are you going to do tonight? | What are you going to do for the New Year?,,
28,6학년,YBM(최희경),6단원,I'm going play soccer.,The infinitive marker “to” is required after “going” in the future expression “be going to.”,~할 예정이다'라고 이야기할 때 마지막에 어떤 단어를 써야 하나요?,I’m going to play soccer. | I’m going to bake cookies. | I’m going to go shopping. | I’m going to take a guitar lesson. | I’m going to walk my dog.,,
29,6학년,YBM(최희경),6단원,I'm going to plays soccer.,The verb after “to” should be in the base form.,to 다음에 오는 말의 모양이 알맞은지 다시 읽어 볼까요?,I’m going to play soccer. | I’m going to visit a museum. | I’m going to visit my grandmother. | I’m going to watch a movie. | I’m going to make a robot.,,
30,6학년,YBM(최희경),6단원,Have good time.,An article is required before the singular countable noun phrase “good time.”,good time' 앞에 필요한 단어는 무엇일까요?,"Have a good time! | Have a good weekend! | We are going to have a good time. | Have a good time, everyone! | Have a good time, Amber!",,
31,6학년,YBM(최희경),7단원,What would you like have?,The infinitive marker “to” is required before the verb after “would like.”,~하고 싶다'라고 이야할 때 마지막에 들어갈 단어는 무엇인가요?,"What would you like to have? | What would you like to have, Lucas? | What would you like to have, Rani? | What would you like to have, Mike? | What would you like?",,
