id,grade,publisher,unit,error_pattern,error_description,question,example_sentences
1,5학년,YBM(최희경),1단원,Where you are from?,An auxiliary verb is required before the subject in a wh-question.,"어느 나라에서 왔는지 물을 때, 단어의 순서는 어떻게 써야 할까요?","Where are you from? | Where are you from, Ryan? | Where are you from, Kevin? | Where are you from, Tom? | Where are you from, Mohan?"
2,5학년,YBM(최희경),1단원,I am Korea.,The preposition “from” is required when referring to a country of origin.,"어느 나라에서 왔는지 말할 때, '~로부터'라는 의미의 어떤 단어가 필요할까요?","I’m from Korea. | I am from Korea. | I'm from Busan, Korea. | My name is Horan. I’m from Korea. | I’m Jiho from Korea."
3,5학년,YBM(최희경),1단원,I’m from the Korea.,Country names such as Korea are normally used without the definite article.,나라 이름 앞에는 불필요한 단어가 있지 않나요?,I’m from Korea. | I’m from France. | I’m from Brazil. | I’m from Thailand. | I’m from the U.K
4,5학년,YBM(최희경),1단원,Nice meet you.,The verb “meet” cannot be used without a finite verb in this expression.,~하는 것'이 좋다라고 할 때 nice 뒤에 꼭 필요한 말은 무엇인가요?,"Nice to meet you. | Nice to meet you, too. | Nice to meet you, Amber. | Nice to meet you, everyone! | Nice to meet you, Peter."
5,5학년,YBM(최희경),1단원,I'm from korea.,Country names should begin with a capital letter.,나라 이름의 첫 글자는 어떻게 써야 할까요?,I’m from Korea. | I’m from France. | I’m from Brazil. | I’m from Thailand. | I’m from the U.K
6,5학년,YBM(최희경),2단원,can I sit here?,A sentence should begin with a capital letter.,문장이 시작될 때 첫 글자는 어떻게 써야 할까요?,"Can I sit here? | Hi. Can I sit here? | Ms. Jones, can I sit here? | May I sit here? | Can I sit here? Yes, you can."
7,5학년,YBM(최희경),2단원,Can sit I here?,The subject should come before the main verb in a question.,허락을 구할 때 단어의 순서는 어떻게 써야 할까요?,"Yes, you can. | Oh, yes, you can. | Yes, you can. Thank you. | Yes, you can. Go ahead. | Sure, you can."
8,5학년,YBM(최희경),2단원,"Yes, you can sit.",A short permission response can end with “you can” without repeating the main verb.,허락해주는 상황에서 더 짧게 말할 수 있나요?,"Yes, you can. | Oh, yes, you can. | Yes, you can. Thank you.,,, | Yes, you can. Go ahead.,, | Sure, you can."
9,5학년,YBM(최희경),2단원,"Sorry, you can.","The negative response with “sorry” requires “can’t,” not “can.”",허락하지 못하는 상황이라면 you 뒤에 어떤 형태가 와야 할까요?,"Sorry, you can’t. | No, you can’t. | Sorry, but I can’t. | I’m sorry. But I can’t go. | No, you can't. I'm sorry."
10,5학년,YBM(최희경),2단원,Your welcome.,The possessive determiner “your” should be changed to the contraction “you’re” in this expression.,천만에요'라고 하려면 어떤 형태가 맞을까요?,You’re welcome. | No problem. | Thank you. You're welcome. | You're welcome. Have a good time! | No problem. Have a nice trip.
11,5학년,YBM(최희경),3단원,What's your favorite subjects?,A singular noun is required when asking about one favorite subject.,가장 좋아하는 것을 물을 때 뒤에 나오는 단어(명사)는 어떤 형태인가요?,What’s your favorite subject? | My favorite subject is science. | What’s your favorite thing? | Blue is my favorite color. | The dog is my favorite animal.
